date,year,month,month_name,weekday,hour
2024-10-29,2024,10,October,Tuesday,15
2024-04-22,2024,4,April,Monday,16
2024-06-21,2024,6,June,Friday,3
2024-07-12,2024,7,July,Friday,2
2024-05-28,2024,5,May,Tuesday,2
2024-12-25,2024,12,December,Wednesday,23
2024-10-12,2024,10,October,Saturday,7
2024-10-17,2024,10,October,Thursday,11
2024-05-14,2024,5,May,Tuesday,21
2024-03-19,2024,3,March,Tuesday,22
2024-01-06,2024,1,January,Saturday,4
2024-05-14,2024,5,May,Tuesday,18
2024-03-23,2024,3,March,Saturday,19
2024-06-06,2024,6,June,Thursday,8
2024-03-05,2024,3,March,Tuesday,4
2024-12-19,2024,12,December,Thursday,7
2024-01-11,2024,1,January,Thursday,21
2024-02-06,2024,2,February,Tuesday,18
2024-07-27,2024,7,July,Saturday,6
2024-02-01,2024,2,February,Thursday,14
2024-05-07,2024,5,May,Tuesday,2
2024-03-26,2024,3,March,Tuesday,14
2024-08-20,2024,8,August,Tuesday,10
2024-01-30,2024,1,January,Tuesday,21
2024-09-17,2024,9,September,Tuesday,2
2024-10-31,2024,10,October,Thursday,1
2024-07-21,2024,7,July,Sunday,4
2024-02-21,2024,2,February,Wednesday,2
2024-10-05,2024,10,October,Saturday,11
2024-02-24,2024,2,February,Saturday,20
2024-01-27,2024,1,January,Saturday,3
2024-10-09,2024,10,October,Wednesday,15
2024-03-16,2024,3,March,Saturday,15
2024-02-22,2024,2,February,Thursday,12
2024-03-31,2024,3,March,Sunday,15
2024-12-25,2024,12,December,Wednesday,3
2024-04-24,2024,4,April,Wednesday,0
2024-10-01,2024,10,October,Tuesday,12
2024-06-09,2024,6,June,Sunday,15
2024-10-02,2024,10,October,Wednesday,7
2024-09-16,2024,9,September,Monday,11
2024-03-30,2024,3,March,Saturday,22
2024-08-26,2024,8,August,Monday,16
2024-11-20,2024,11,November,Wednesday,22
2024-08-31,2024,8,August,Saturday,22
2024-03-16,2024,3,March,Saturday,23
2024-08-25,2024,8,August,Sunday,1
2024-08-14,2024,8,August,Wednesday,22
2024-05-12,2024,5,May,Sunday,9
2024-05-19,2024,5,May,Sunday,12
2024-10-04,2024,10,October,Friday,16
2024-10-21,2024,10,October,Monday,13
2024-04-22,2024,4,April,Monday,17
2024-03-06,2024,3,March,Wednesday,22
2024-01-26,2024,1,January,Friday,9
2024-02-11,2024,2,February,Sunday,17
2024-01-16,2024,1,January,Tuesday,9
2024-07-07,2024,7,July,Sunday,6
2024-06-08,2024,6,June,Saturday,20
2024-06-03,2024,6,June,Monday,21
2024-06-23,2024,6,June,Sunday,0
2024-03-31,2024,3,March,Sunday,18
